Satellite states as KEPLERIAN_EARTH_CENTERED_INERTIAL elements.
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,sma [km],ecc,inc [deg],raan [deg],aop [deg],ta [deg]
23,7077.999999999996,0.009999999999999896,67.0,179.99279963795547,359.9978195540387,59.14072781121595
24,7077.999999999995,0.01000000000000015,67.0,179.99248657870976,359.9977247518602,59.754262393977186
25,7077.999999999995,0.009999999999999502,67.0,179.99217351947294,359.9976299495775,60.36768405719241
26,7077.999999999997,0.009999999999999966,67.0,179.99186046028873,359.99753514794196,60.98099213389974
27,7077.999999999998,0.010000000000000248,67.0,179.99154740106508,359.99744034602736,61.594185970837145
28,7077.9999999999945,0.009999999999999664,67.0,179.99123434184773,359.9973455437262,62.20726492851657
29,7077.999999999993,0.01000000000000004,67.0,179.99092128267623,359.99725074187404,62.82022838127919
30,7077.999999999996,0.009999999999999785,67.0,179.9906082234295,359.9971559396569,63.43307571734119
31,7078.0,0.01000000000000041,67.0,179.9902951642651,359.99706113797845,64.04580633887399
32,7077.999999999998,0.010000000000000524,67.0,179.98998210495694,359.99696633570665,64.65841966203406
33,7077.999999999997,0.01000000000000031,67.0,179.98966904580038,359.99687153359463,65.27091511701344
34,7077.999999999995,0.010000000000000295,67.0,179.98935598654228,359.99677673185437,65.88329214810267
35,7077.999999999997,0.01000000000000024,67.0,179.98904292732445,359.99668192968505,66.49555021372433
36,7077.999999999998,0.009999999999999771,67.0,179.98872986811114,359.99658712765654,67.10768878648639
37,7077.999999999999,0.010000000000000066,67.0,179.98841680890206,359.99649232575734,67.71970735322168
38,7077.999999999992,0.009999999999999785,67.0,179.9881037496967,359.9963975237748,68.33160541502848
39,7077.999999999999,0.009999999999999511,67.0,179.98779069046506,359.9963027219126,68.94338248729503
40,7077.9999999999945,0.009999999999999874,67.0,179.98747763123814,359.9962079197772,69.55503809977743
41,7077.999999999996,0.010000000000000371,67.0,179.98716457201562,359.9961131177638,70.16657179658162
42,7077.999999999997,0.010000000000000222,67.0,179.98685151282487,359.99601831595504,70.77798313623275
43,7077.999999999995,0.009999999999999657,67.0,179.98653845358245,359.99592351388975,71.38927169169776
44,7077.999999999994,0.010000000000000052,67.0,179.98622539439774,359.9958287119348,72.00043705041075
45,7077.999999999995,0.00999999999999967,67.0,179.98591233513747,359.9957339096557,72.61147881429231
46,7077.999999999996,0.0100000000000003,67.0,179.98559927590784,359.99563910765875,73.22239659980112
47,7077.999999999994,0.009999999999999853,67.0,179.98528621673165,359.99554430576217,73.8331900379258
48,7077.999999999998,0.009999999999999924,67.0,179.9849731575085,359.9954495037195,74.44385877422387
49,7077.999999999996,0.010000000000000056,67.0,179.98466009826504,359.99535470177506,75.05440246884754
50,7077.999999999997,0.009999999999999917,67.0,179.98434703904908,359.9952598997691,75.66482079654075
51,7077.999999999996,0.01,67.0,179.98403397983608,359.99516509763,76.27511344667421
52,7077.999999999993,0.009999999999999629,67.0,179.98372092060356,359.9950702955871,76.88528012324942
53,7077.999999999993,0.009999999999999884,67.0,179.9834078614185,359.99497549378003,77.49532054491128
54,7078.000000000001,0.00999999999999996,67.0,179.98309480219194,359.9948806917686,78.10523444495534
55,7077.999999999999,0.01000000000000039,67.0,179.98278174296854,359.9947858897038,78.7150215713623
56,7077.9999999999945,0.010000000000000085,67.0,179.98246868376893,359.994691087863,79.32468168676381
57,7077.9999999999945,0.010000000000000281,67.0,179.98215562455093,359.9945962856948,79.93421456847106
58,7077.9999999999945,0.010000000000000056,67.0,179.98184256529547,359.9945014836802,80.54362000847657
59,7077.999999999994,0.009999999999999893,67.0,179.98152950610304,359.9944066816811,81.15289781345328
60,7078.0,0.009999999999999966,67.0,179.98121644687353,359.99431187963256,81.76204780474839
61,7077.999999999998,0.010000000000000174,67.0,179.9809033876469,359.9942170777261,82.37106981840036
62,7078.000000000001,0.009999999999999747,67.0,179.980590328423,359.99412227558287,82.97996370510245
63,7078.0,0.009999999999999508,67.0,179.98027726920168,359.9940274736412,83.58872933022823
64,7077.999999999999,0.010000000000000142,67.0,179.97996421000104,359.99393267171155,84.19736657380668
