req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
2ea2a528,thm_0,thermal,"[4761.341884619495, -4113.37872732391, -1044.203794642067]",0.0,86400.0,86400.0,1780.0,1.0,0.3333333333333333,0.10882201646090535
2e9e8222,img_0,visible,"[2630.174015858927, 2107.32041059329, 5414.979962546043]",0.0,86400.0,86400.0,1830.0,1.0,0.3333333333333333,0.10875771604938272
2ea2d4a8,img_0,visible,"[2985.572322411262, 2952.5368728689937, 4800.9901669737355]",0.0,86400.0,86400.0,1990.0,1.0,0.3333333333333333,0.10855195473251028
2ea542c4,img_0,visible,"[3189.920123731725, 2883.3712928389405, 4710.753894359306]",0.0,86400.0,86400.0,2000.0,1.0,0.3333333333333333,0.10853909465020575
2ea69c78,sar_2,sar,"[3647.4643961640245, 2402.586689221201, 4648.032200928755]",0.0,86400.0,86400.0,2060.0,1.0,0.3333333333333333,0.10846193415637859
2ea542c4,sar_2,sar,"[3189.920123731725, 2883.3712928389405, 4710.753894359306]",0.0,86400.0,86400.0,2120.0,1.0,0.3333333333333333,0.10838477366255145
2e98869c,img_0,visible,"[2900.265884658504, 3836.635861214348, 4189.189149239713]",0.0,86400.0,86400.0,2150.0,1.0,0.3333333333333333,0.10834619341563785
2ea2d4a8,sar_2,sar,"[2985.572322411262, 2952.5368728689937, 4800.9901669737355]",0.0,86400.0,86400.0,2160.0,1.0,0.3333333333333333,0.10833333333333334
2e9cc446,img_0,visible,"[3544.8367120268326, 3591.28373183685, 3900.95328142859]",0.0,86400.0,86400.0,2250.0,1.0,0.3333333333333333,0.10821759259259259
2e9c1f5a,sar_2,sar,"[2466.5311418031147, 2887.5685932047995, 5124.333557393622]",0.0,86400.0,86400.0,2250.0,1.0,0.3333333333333333,0.10821759259259259
2e9f84b0,thm_2,thermal,"[-527.0624668467873, -2789.5682143175945, 5711.491661123915]",0.0,86400.0,86400.0,2310.0,1.0,0.3333333333333333,0.10814043209876542
2ea514fc,thm_2,thermal,"[-729.3680464732022, -3221.369315378822, 5456.319698120459]",0.0,86400.0,86400.0,2340.0,1.0,0.3333333333333333,0.10810185185185185
2ea7744a,thm_2,thermal,"[-484.4989370054225, -3071.0458366365838, 5569.071817699553]",0.0,86400.0,86400.0,2350.0,1.0,0.3333333333333333,0.10808899176954731
2ea4ba70,thm_2,thermal,"[-486.6518092197806, -3405.35416040655, 5370.973442511385]",0.0,86400.0,86400.0,2390.0,1.0,0.3333333333333333,0.1080375514403292
2e9da6cc,thm_2,thermal,"[122.6874676565995, -4156.697815105328, 4836.055595271449]",0.0,86400.0,86400.0,2560.0,1.0,0.3333333333333333,0.10781893004115226
2e97c7d4,thm_2,thermal,"[898.8023036626363, -4584.657516159214, 4342.08389368898]",0.0,86400.0,86400.0,2710.0,1.0,0.3333333333333333,0.10762602880658435
2e96b5a6,img_2,visible,"[615.1169652280626, -4623.984611421844, 4349.829892513073]",0.0,86400.0,86400.0,2710.0,1.0,0.3333333333333333,0.10762602880658435
2e982788,thm_2,thermal,"[1116.7695837167582, -4411.567404308492, 4468.950815964037]",0.0,86400.0,86400.0,2720.0,1.0,0.3333333333333333,0.10761316872427984
