plan_index,t_plan,req_id,subtask_index,t_img,u_exp
111,2860.0,8806ed0b,2,7090.0,0.306
111,2860.0,8806ece8,2,7370.0,0.305
112,2860.0,8806ed0b,2,7090.0,0.306
112,2860.0,8806ece8,2,7370.0,0.305
113,2940.0,8806ed0b,2,7090.0,0.306
113,2940.0,8806ece8,2,7370.0,0.305
114,2940.0,8806ed0b,2,7090.0,0.306
114,2940.0,8806ece8,2,7370.0,0.305
115,2940.0,8806ed0b,2,7090.0,0.306
115,2940.0,8806ece8,2,7370.0,0.305
116,3720.0,8806ed0b,2,7090.0,0.306
116,3720.0,8806ece8,2,7370.0,0.305
117,3720.0,8806ed0b,2,7090.0,0.306
117,3720.0,8806ece8,2,7370.0,0.305
118,3740.0,8806ed0b,2,7090.0,0.306
118,3740.0,8806ece8,2,7370.0,0.305
119,3740.0,8806ed0b,2,7090.0,0.306
119,3740.0,8806ece8,2,7370.0,0.305
120,3740.0,8806ed0b,2,7090.0,0.306
120,3740.0,8806ece8,2,7370.0,0.305
121,3980.0,8806ed0b,2,7090.0,0.306
121,3980.0,8806ece8,2,7370.0,0.305
122,3980.0,8806ed0b,2,7090.0,0.306
122,3980.0,8806ece8,2,7370.0,0.305
123,4020.0,8806ed0b,2,7090.0,0.306
123,4020.0,8806ece8,2,7370.0,0.305
124,4020.0,8806ed0b,2,7090.0,0.306
124,4020.0,8806ece8,2,7370.0,0.305
125,4020.0,8806ed0b,2,7090.0,0.306
125,4020.0,8806ece8,2,7370.0,0.305
126,4200.0,8806ed0b,2,7090.0,0.306
126,4200.0,8806ece8,2,7370.0,0.305
127,4200.0,8806ed0b,2,7090.0,0.306
127,4200.0,8806ece8,2,7370.0,0.305
128,4200.0,8806ed0b,2,7090.0,0.306
128,4200.0,8806ece8,2,7370.0,0.305
129,4200.0,8806ed0b,2,7090.0,0.306
129,4200.0,8806ece8,2,7370.0,0.305
130,4230.0,8806ed0b,2,7090.0,0.306
130,4230.0,8806ece8,2,7370.0,0.305
131,4230.0,8806ed0b,2,7090.0,0.306
131,4230.0,8806ece8,2,7370.0,0.305
132,4230.0,8806ed0b,2,7090.0,0.306
132,4230.0,8806ece8,2,7370.0,0.305
133,4340.0,8806ed0b,2,7090.0,0.306
133,4340.0,8806ece8,2,7370.0,0.305
134,4340.0,8806ed0b,2,7090.0,0.306
134,4340.0,8806ece8,2,7370.0,0.305
135,4380.0,8806ed0b,2,7090.0,0.306
135,4380.0,8806ece8,2,7370.0,0.305
135,4380.0,8806ecce,2,9320.0,0.297
136,4380.0,8806ed0b,2,7090.0,0.306
136,4380.0,8806ece8,2,7370.0,0.305
136,4380.0,8806ecce,2,9320.0,0.297
137,4470.0,8806ed0b,2,7090.0,0.306
137,4470.0,8806ece8,2,7370.0,0.305
137,4470.0,8806ecce,2,9320.0,0.297
138,4470.0,8806ed0b,2,7090.0,0.306
138,4470.0,8806ece8,2,7370.0,0.305
138,4470.0,8806ecce,2,9320.0,0.297
139,4470.0,8806ed0b,2,7090.0,0.306
139,4470.0,8806ece8,2,7370.0,0.305
139,4470.0,8806ecce,2,9320.0,0.297
140,4530.0,8806ed0b,2,7090.0,0.306
140,4530.0,8806ece8,2,7370.0,0.305
140,4530.0,8806ecce,2,9320.0,0.297
141,4530.0,8806ed0b,2,7090.0,0.306
141,4530.0,8806ece8,2,7370.0,0.305
141,4530.0,8806ecce,2,9320.0,0.297
142,4530.0,8806ed0b,2,7090.0,0.306
142,4530.0,8806ece8,2,7370.0,0.305
142,4530.0,8806ecce,2,9320.0,0.297
143,4540.0,8806ed0b,2,7090.0,0.306
143,4540.0,8806ece8,2,7370.0,0.305
143,4540.0,8806ecce,2,9320.0,0.297
144,4540.0,8806ed0b,2,7090.0,0.306
144,4540.0,8806ece8,2,7370.0,0.305
144,4540.0,8806ecce,2,9320.0,0.297
145,4540.0,8806ed0b,2,7090.0,0.306
145,4540.0,8806ece8,2,7370.0,0.305
145,4540.0,8806ecce,2,9320.0,0.297
146,4560.0,8806ed0b,2,7090.0,0.306
146,4560.0,8806ece8,2,7370.0,0.305
146,4560.0,8806ecce,2,9320.0,0.297
147,4560.0,8806ed0b,2,7090.0,0.306
147,4560.0,8806ece8,2,7370.0,0.305
147,4560.0,8806ecce,2,9320.0,0.297
148,4560.0,8806ed0b,2,7090.0,0.306
148,4560.0,8806ece8,2,7370.0,0.305
148,4560.0,8806ecce,2,9320.0,0.297
149,4560.0,8806ed0b,2,7090.0,0.306
149,4560.0,8806ece8,2,7370.0,0.305
149,4560.0,8806ecce,2,9320.0,0.297
150,4610.0,8806ed0b,2,7090.0,0.306
150,4610.0,8806ece8,2,7370.0,0.305
150,4610.0,8806ecce,2,9320.0,0.297
151,4610.0,8806ed0b,2,7090.0,0.306
151,4610.0,8806ece8,2,7370.0,0.305
151,4610.0,8806ecce,2,9320.0,0.297
152,4610.0,8806ed0b,2,7090.0,0.306
152,4610.0,8806ece8,2,7370.0,0.305
152,4610.0,8806ecce,2,9320.0,0.297
153,4610.0,8806ed0b,2,7090.0,0.306
153,4610.0,8806ece8,2,7370.0,0.305
153,4610.0,8806ecce,2,9320.0,0.297
154,4730.0,8806ed0b,2,7090.0,0.306
154,4730.0,8806ece8,2,7370.0,0.305
154,4730.0,8806ecce,2,9320.0,0.297
155,4730.0,8806ed0b,2,7090.0,0.306
155,4730.0,8806ece8,2,7370.0,0.305
155,4730.0,8806ecce,2,9320.0,0.297
156,4730.0,8806ed0b,2,7090.0,0.306
156,4730.0,8806ece8,2,7370.0,0.305
156,4730.0,8806ecce,2,9320.0,0.297
157,4790.0,8806ed0b,2,7090.0,0.306
157,4790.0,8806ece8,2,7370.0,0.305
157,4790.0,8806ecce,2,9320.0,0.297
158,4790.0,8806ed0b,2,7090.0,0.306
158,4790.0,8806ece8,2,7370.0,0.305
158,4790.0,8806ecce,2,9320.0,0.297
159,4790.0,8806ed0b,2,7090.0,0.306
159,4790.0,8806ece8,2,7370.0,0.305
159,4790.0,8806ecce,2,9320.0,0.297
160,4840.0,8806ed0b,2,7090.0,0.306
160,4840.0,8806ece8,2,7370.0,0.305
160,4840.0,8806ecce,2,9320.0,0.297
161,4840.0,8806ed0b,2,7090.0,0.306
161,4840.0,8806ece8,2,7370.0,0.305
161,4840.0,8806ecce,2,9320.0,0.297
162,4840.0,8806ed0b,2,7090.0,0.306
162,4840.0,8806ece8,2,7370.0,0.305
162,4840.0,8806ecce,2,9320.0,0.297
163,5170.0,8806ed0b,2,7090.0,0.306
163,5170.0,8806ece8,2,7370.0,0.305
163,5170.0,8806ecce,2,9320.0,0.297
164,5170.0,8806ed0b,2,7090.0,0.306
164,5170.0,8806ece8,2,7370.0,0.305
164,5170.0,8806ecce,2,9320.0,0.297
165,5170.0,8806ed0b,2,7090.0,0.306
165,5170.0,8806ece8,2,7370.0,0.305
165,5170.0,8806ecce,2,9320.0,0.297
166,5390.0,8806ed0b,2,7090.0,0.306
166,5390.0,8806ece8,2,7370.0,0.305
166,5390.0,8806ecce,2,9320.0,0.297
167,5390.0,8806ed0b,2,7090.0,0.306
167,5390.0,8806ece8,2,7370.0,0.305
167,5390.0,8806ecce,2,9320.0,0.297
168,5390.0,8806ed0b,2,7090.0,0.306
168,5390.0,8806ece8,2,7370.0,0.305
168,5390.0,8806ecce,2,9320.0,0.297
169,5460.0,8806ed0b,2,7090.0,0.306
169,5460.0,8806ece8,2,7370.0,0.305
169,5460.0,8806ecce,2,9320.0,0.297
170,5460.0,8806ed0b,2,7090.0,0.306
170,5460.0,8806ece8,2,7370.0,0.305
170,5460.0,8806ecce,2,9320.0,0.297
171,5460.0,8806ed0b,2,7090.0,0.306
171,5460.0,8806ece8,2,7370.0,0.305
171,5460.0,8806ecce,2,9320.0,0.297
172,5640.0,8806ed0b,2,7090.0,0.306
172,5640.0,8806ece8,2,7370.0,0.305
172,5640.0,8806ecce,2,9320.0,0.297
173,5640.0,8806ed0b,2,7090.0,0.306
173,5640.0,8806ece8,2,7370.0,0.305
173,5640.0,8806ecce,2,9320.0,0.297
174,5640.0,8806ed0b,2,7090.0,0.306
174,5640.0,8806ece8,2,7370.0,0.305
174,5640.0,8806ecce,2,9320.0,0.297
175,6160.0,8806ed0b,2,7090.0,0.306
175,6160.0,8806ece8,2,7370.0,0.305
175,6160.0,8806ecce,2,9320.0,0.297
176,6160.0,8806ed0b,2,7090.0,0.306
176,6160.0,8806ece8,2,7370.0,0.305
176,6160.0,8806ecce,2,9320.0,0.297
177,6160.0,8806ed0b,2,7090.0,0.306
177,6160.0,8806ece8,2,7370.0,0.305
177,6160.0,8806ecce,2,9320.0,0.297
178,6350.0,8806ed0b,2,7090.0,0.306
178,6350.0,8806ece8,2,7370.0,0.305
178,6350.0,8806ecce,2,9320.0,0.297
179,6350.0,8806ed0b,2,7090.0,0.306
179,6350.0,8806ece8,2,7370.0,0.305
179,6350.0,8806ecce,2,9320.0,0.297
180,6350.0,8806ed0b,2,7090.0,0.306
180,6350.0,8806ece8,2,7370.0,0.305
180,6350.0,8806ecce,2,9320.0,0.297
181,6380.0,8806ed0b,2,7090.0,0.306
181,6380.0,8806ece8,2,7370.0,0.305
181,6380.0,8806ecce,2,9320.0,0.297
182,6380.0,8806ed0b,2,7090.0,0.306
182,6380.0,8806ece8,2,7370.0,0.305
182,6380.0,8806ecce,2,9320.0,0.297
183,6380.0,8806ed0b,2,7090.0,0.306
183,6380.0,8806ece8,2,7370.0,0.305
183,6380.0,8806ecce,2,9320.0,0.297
184,6380.0,8806ed0b,2,7090.0,0.306
184,6380.0,8806ece8,2,7370.0,0.305
184,6380.0,8806ecce,2,9320.0,0.297
185,6390.0,8806ed0b,2,7090.0,0.306
185,6390.0,8806ece8,2,7370.0,0.305
185,6390.0,8806ecce,2,9320.0,0.297
186,6390.0,8806ed0b,2,7090.0,0.306
186,6390.0,8806ece8,2,7370.0,0.305
186,6390.0,8806ecce,2,9320.0,0.297
187,6390.0,8806ed0b,2,7090.0,0.306
187,6390.0,8806ece8,2,7370.0,0.305
187,6390.0,8806ecce,2,9320.0,0.297
188,6850.0,8806ed0b,2,7090.0,0.306
188,6850.0,8806ece8,2,7370.0,0.305
188,6850.0,8806ecce,2,9320.0,0.297
189,6850.0,8806ed0b,2,7090.0,0.306
189,6850.0,8806ece8,2,7370.0,0.305
189,6850.0,8806ecce,2,9320.0,0.297
190,6850.0,8806ed0b,2,7090.0,0.306
190,6850.0,8806ece8,2,7370.0,0.305
190,6850.0,8806ecce,2,9320.0,0.297
191,6850.0,8806ed0b,2,7090.0,0.306
191,6850.0,8806ece8,2,7370.0,0.305
191,6850.0,8806ecce,2,9320.0,0.297
192,6850.0,8806ed0b,2,7090.0,0.306
192,6850.0,8806ece8,2,7370.0,0.305
192,6850.0,8806ecce,2,9320.0,0.297
193,6860.0,8806ed0b,2,7090.0,0.306
193,6860.0,8806ece8,2,7370.0,0.305
193,6860.0,8806ecce,2,9320.0,0.297
194,6860.0,8806ed0b,2,7090.0,0.306
194,6860.0,8806ece8,2,7370.0,0.305
194,6860.0,8806ecce,2,9320.0,0.297
195,6860.0,8806ed0b,2,7090.0,0.306
195,6860.0,8806ece8,2,7370.0,0.305
195,6860.0,8806ecce,2,9320.0,0.297
196,6860.0,8806ed0b,2,7090.0,0.306
196,6860.0,8806ece8,2,7370.0,0.305
196,6860.0,8806ecce,2,9320.0,0.297
197,6870.0,8806ed0b,2,7090.0,0.306
197,6870.0,8806ece8,2,7370.0,0.305
197,6870.0,8806ecce,2,9320.0,0.297
198,6870.0,8806ed0b,2,7090.0,0.306
198,6870.0,8806ece8,2,7370.0,0.305
198,6870.0,8806ecce,2,9320.0,0.297
199,6870.0,8806ed0b,2,7090.0,0.306
199,6870.0,8806ece8,2,7370.0,0.305
199,6870.0,8806ecce,2,9320.0,0.297
200,6870.0,8806ed0b,2,7090.0,0.306
200,6870.0,8806ece8,2,7370.0,0.305
200,6870.0,8806ecce,2,9320.0,0.297
201,6880.0,8806ed0b,2,7090.0,0.306
201,6880.0,8806ece8,2,7370.0,0.305
201,6880.0,8806ecce,2,9320.0,0.297
202,6880.0,8806ed0b,2,7090.0,0.306
202,6880.0,8806ece8,2,7370.0,0.305
202,6880.0,8806ecce,2,9320.0,0.297
203,6880.0,8806ed0b,2,7090.0,0.306
203,6880.0,8806ece8,2,7370.0,0.305
203,6880.0,8806ecce,2,9320.0,0.297
204,6880.0,8806ed0b,2,7090.0,0.306
204,6880.0,8806ece8,2,7370.0,0.305
204,6880.0,8806ecce,2,9320.0,0.297
205,6880.0,8806ed0b,2,7090.0,0.306
205,6880.0,8806ece8,2,7370.0,0.305
205,6880.0,8806ecce,2,9320.0,0.297
206,7090.0,8806ece8,2,7370.0,0.305
206,7090.0,8806ecce,2,9320.0,0.297
206,7090.0,8806ece6,2,13140.0,0.283
207,7090.0,8806ece8,2,7370.0,0.305
207,7090.0,8806ecce,2,9320.0,0.297
207,7090.0,8806ece6,2,13140.0,0.283
208,7090.0,8806ece8,2,7370.0,0.305
208,7090.0,8806ecce,2,9320.0,0.297
208,7090.0,8806ece6,2,13140.0,0.283
209,7090.0,8806ece8,2,7370.0,0.305
209,7090.0,8806ecce,2,9320.0,0.297
209,7090.0,8806ece6,2,13140.0,0.283
210,7160.0,8806ece8,2,7370.0,0.305
210,7160.0,8806ecce,2,9320.0,0.297
210,7160.0,8806ece6,2,13140.0,0.283
211,7160.0,8806ece8,2,7370.0,0.305
211,7160.0,8806ecce,2,9320.0,0.297
211,7160.0,8806ece6,2,13140.0,0.283
212,7160.0,8806ece8,2,7370.0,0.305
212,7160.0,8806ecce,2,9320.0,0.297
212,7160.0,8806ece6,2,13140.0,0.283
213,7160.0,8806ece8,2,7370.0,0.305
