Satellite states are in CARTESIAN_EARTH_CENTERED_INERTIAL (equatorial-plane) frame.
Epoch [JDUT1] is 2458849.5
Step size [s] is 0.8590907628291928
Mission Duration [Days] is 0.03321077886481061
time index,x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
36,-4102.17453062658,-242.72187497051775,-5586.270820115337,5.817880030893307,2.1270843749297144,-4.364355728384004
37,-4097.180906008872,-240.89745504049617,-5590.013006376287,5.822083555015393,2.1273333809917787,-4.358625514518862
38,-4092.183677264808,-239.07282136377304,-5593.750274429341,5.826281957077003,2.127580516922707,-4.3528914652899156
39,-4087.182848790766,-237.24797554437654,-5597.482620985893,5.830475233395058,2.127825782503496,-4.347153585726186
40,-4082.1784249862867,-235.4229191865258,-5601.210042761646,5.834663380290936,2.1280691775167755,-4.341411880860032
41,-4077.170410254054,-233.59765389462152,-5604.9325364766355,5.838846394090489,2.1283107017467984,-4.335666355727156
42,-4072.158808999908,-231.7721812732542,-5608.650098855204,5.843024271124047,2.128550354979453,-4.329917015366589
43,-4067.1436256328407,-229.94650292719703,-5612.362726626026,5.847197007726411,2.1287881370022563,-4.324163864820693
44,-4062.124864564983,-228.12062046140622,-5616.070416522102,5.8513646002368676,2.129024047604352,-4.318406909135156
45,-4057.1025302116045,-226.29453548101864,-5619.7731652807615,5.85552704499918,2.129258086576518,-4.312646153358983
46,-4052.0766269910923,-224.46824959134486,-5623.470969643679,5.859684338361609,2.12949025371116,-4.30688160254449
47,-4047.047159325001,-222.6417643978854,-5627.1638263568475,5.863836476676892,2.1297205488023168,-4.301113261747317
48,-4042.014131637979,-220.81508150630702,-5630.851732170612,5.867983456302274,2.129948971645657,-4.295341136026398
49,-4036.977548357812,-218.9882025224566,-5634.534683839658,5.872125273599482,2.1301755220384777,-4.289565230443982
50,-4031.9374139154133,-217.16112905235772,-5638.212678123006,5.8762619249347505,2.130400199779711,-4.283785550065605
51,-4026.8937327447925,-215.33386270219995,-5641.885711784039,5.8803934066788175,2.1306230046699186,-4.278002099960097
52,-4021.846509283084,-213.5064050783478,-5645.553781590478,5.884519715206919,2.1308439365112934,-4.272214885199589
53,-4016.7957479705246,-211.67875778733608,-5649.216884314406,5.888640846898812,2.131062995107661,-4.26642391085948
54,-4011.7414532504636,-209.85092243586757,-5652.875016732257,5.892756798138745,2.131280180264477,-4.260629182018473
