GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
411,1900,45.337,28.414
411,1929,44.308,22.567
411,2216,48.595,27.455
411,2240,45.199,33.419
411,2618,46.827,31.59
411,2745,46.186,34.252
411,2810,45.4,28.986
411,2873,46.562,30.74
411,3303,45.486,29.152
411,3567,45.443,33.202
411,3901,46.188,33.765
411,4082,47.841,27.226
411,4797,41.334,28.617
411,4855,47.279,29.122
412,90,46.781,33.373
412,117,46.147,34.805
412,333,44.691,28.997
412,370,46.015,34.402
412,466,46.078,30.468
412,790,45.335,28.706
412,791,45.82,30.134
412,803,46.444,35.435
412,850,46.116,34.038
412,878,45.587,29.715
412,1246,44.616,28.93
412,1288,46.657,31.177
412,1462,44.673,22.531
412,1564,46.548,30.681
412,1604,45.981,34.556
412,1900,45.337,28.414
412,1929,44.308,22.567
412,2216,48.595,27.455
412,2240,45.199,33.419
412,2618,46.827,31.59
412,2745,46.186,34.252
412,2810,45.4,28.986
412,2873,46.562,30.74
412,3303,45.486,29.152
412,3567,45.443,33.202
412,3901,46.188,33.765
412,4082,47.841,27.226
412,4797,41.334,28.617
412,4855,47.279,29.122
413,90,46.781,33.373
413,117,46.147,34.805
413,333,44.691,28.997
413,370,46.015,34.402
413,466,46.078,30.468
413,790,45.335,28.706
413,791,45.82,30.134
413,850,46.116,34.038
413,878,45.587,29.715
413,1246,44.616,28.93
413,1288,46.657,31.177
413,1462,44.673,22.531
413,1564,46.548,30.681
413,1604,45.981,34.556
413,1900,45.337,28.414
413,1929,44.308,22.567
413,2216,48.595,27.455
413,2240,45.199,33.419
413,2618,46.827,31.59
413,2745,46.186,34.252
413,2810,45.4,28.986
413,2873,46.562,30.74
413,3303,45.486,29.152
413,3567,45.443,33.202
413,3901,46.188,33.765
413,4082,47.841,27.226
413,4797,41.334,28.617
413,4855,47.279,29.122
414,90,46.781,33.373
414,97,49.081,33.247
414,117,46.147,34.805
414,333,44.691,28.997
414,337,48.556,34.543
414,369,49.77,31.476
414,370,46.015,34.402
414,466,46.078,30.468
414,790,45.335,28.706
414,791,45.82,30.134
414,850,46.116,34.038
414,878,45.587,29.715
414,1246,44.616,28.93
414,1288,46.657,31.177
414,1308,47.87,35.09
