GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
415,2705,64.106,-69.314
416,2649,64.192,-67.163
417,4012,64.792,-67.599
427,2203,62.495,-49.768
427,2710,64.21,-50.581
427,2760,63.74,-50.302
427,3456,67.16,-53.326
427,3491,65.348,-50.931
427,4093,65.237,-51.316
427,4248,61.847,-48.343
427,4603,65.813,-51.672
428,1037,65.18,-50.234
428,2051,66.788,-50.832
428,2195,67.817,-53.117
428,2568,66.996,-52.28
428,2598,67.565,-52.391
428,3090,65.535,-50.488
428,3325,66.014,-50.206
428,3491,65.348,-50.931
428,4304,65.576,-50.603
429,3043,66.215,-49.851
429,3115,67.007,-50.702
448,2072,64.133,-21.03
449,2072,64.133,-21.03
449,3180,65.218,-19.681
449,3678,65.563,-20.449
450,2146,64.346,-18.796
451,4397,65.595,-17.085
452,2985,64.947,-15.793
453,3147,65.28,-14.423
469,3387,61.912,6.115
470,3564,64.706,11.469
470,4342,61.497,6.12
470,4642,62.398,8.54
471,1414,64.083,11.631
471,1716,64.705,13.207
471,1830,64.695,13.741
471,2920,63.267,10.54
471,4216,64.708,14.195
471,4282,65.009,13.537
471,4642,62.398,8.54
472,910,63.405,13.368
472,1669,63.772,13.067
472,2529,64.508,14.141
472,2530,62.997,11.832
472,2942,63.313,12.599
472,3056,59.304,6.943
472,3498,63.659,12.593
472,3689,62.681,11.466
472,3826,64.566,14.119
472,4216,64.708,14.195
472,4247,61.328,8.79
472,4832,60.733,8.01
473,351,63.304,14.467
473,882,61.933,11.879
473,910,63.405,13.368
473,1197,63.838,15.597
473,1570,64.138,15.905
473,2154,59.822,8.317
473,3324,59.727,9.027
473,3576,61.462,11.283
473,3692,63.548,14.284
473,3705,63.795,14.649
473,3760,64.161,15.998
473,3909,63.191,13.622
473,3941,60.123,9.781
473,4059,63.374,14.384
473,4559,60.357,10.078
473,4590,59.666,8.002
473,4739,62.325,12.243
473,4756,62.404,12.959
474,473,60.399,11.228
474,1250,60.236,10.373
474,1270,59.965,9.998
474,2039,62.905,14.569
474,2200,59.019,8.518
474,2284,62.811,15.351
474,2614,62.027,14.281
474,3070,59.205,9.527
474,3324,59.727,9.027
474,3525,59.012,8.268
474,3773,58.658,7.815
474,3882,61.266,11.773
474,3941,60.123,9.781
474,4559,60.357,10.078
474,4968,63.707,16.911
475,2357,59.64,11.156
475,2614,62.027,14.281
475,2646,62.579,16.421
475,3365,62.43,15.434
475,3781,60.312,11.671
475,4581,59.399,10.741
475,4661,61.408,13.721
476,605,60.729,14.997
476,1289,59.319,11.901
476,1726,59.353,12.816
476,2111,61.865,16.644
476,2239,59.468,13.035
476,2782,61.115,15.644
476,3230,59.032,12.226
476,3269,61.023,14.577
476,3404,61.764,16.839
476,3619,59.144,12.207
476,3647,59.615,13.31
476,4047,59.871,13.146
476,4486,59.181,12.236
476,4922,59.481,12.533
476,4929,60.837,14.118
476,5000,61.541,16.38
477,26,58.369,12.369
477,2239,59.468,13.035
477,2630,60.466,15.57
477,3647,59.615,13.31
477,3652,59.378,14.475
477,3948,61.259,16.83
477,4330,60.159,15.18
478,1310,58.976,14.116
478,1817,58.72,14.36
478,2373,60.613,16.888
478,2796,60.409,17.201
478,3119,57.875,12.442
478,3652,59.378,14.475
478,3712,58.579,14.432
478,3813,60.243,16.832
478,4849,59.984,15.813
478,4883,59.842,16.104
479,96,58.532,15.039
479,363,59.272,16.292
479,1327,58.114,15.044
479,1796,58.514,15.97
479,2188,58.595,16.084
479,2642,58.953,16.882
479,3552,58.852,16.627
479,3843,58.38,14.836
479,4461,55.978,12.041
479,4469,58.948,16.067
480,155,59.322,18.071
480,1026,56.766,13.656
480,1141,61.048,22.157
480,1796,58.514,15.97
480,2188,58.595,16.084
480,2642,58.953,16.882
480,3242,58.139,15.695
480,3510,56.895,14.744
480,3552,58.852,16.627
480,3684,56.676,14.13
480,3976,56.982,13.986
480,4461,55.978,12.041
480,4791,57.041,14.077
480,4981,57.295,14.312
481,2101,56.549,14.765
481,2496,56.603,14.752
