plan_index,t_plan,instrument,t_img
262,25500.0,thermal,25550.0
262,25500.0,thermal,25560.0
262,25500.0,thermal,25570.0
262,25500.0,thermal,25580.0
262,25500.0,thermal,25590.0
262,25500.0,thermal,25600.0
263,25600.0,thermal,25600.0
263,25600.0,thermal,25610.0
263,25600.0,thermal,25620.0
263,25600.0,thermal,25630.0
263,25600.0,thermal,25640.0
263,25600.0,thermal,25650.0
263,25600.0,thermal,25660.0
263,25600.0,thermal,25670.0
263,25600.0,thermal,25680.0
263,25600.0,thermal,25690.0
264,25700.0,thermal,25720.0
264,25700.0,thermal,25750.0
264,25700.0,thermal,25770.0
264,25700.0,thermal,25780.0
264,25700.0,thermal,25790.0
296,28900.0,thermal,29000.0
297,29000.0,thermal,29000.0
297,29000.0,thermal,29030.0
297,29000.0,thermal,29040.0
297,29000.0,thermal,29060.0
297,29000.0,thermal,29080.0
297,29000.0,thermal,29090.0
297,29000.0,thermal,29100.0
298,29100.0,thermal,29100.0
298,29100.0,thermal,29110.0
298,29100.0,thermal,29120.0
298,29100.0,thermal,29140.0
298,29100.0,thermal,29160.0
299,29200.0,thermal,29220.0
299,29200.0,thermal,29230.0
299,29200.0,thermal,29250.0
299,29200.0,thermal,29290.0
300,29300.0,thermal,29360.0
300,29300.0,thermal,29370.0
302,29500.0,thermal,29590.0
303,29600.0,thermal,29640.0
314,30700.0,thermal,30800.0
315,30800.0,thermal,30800.0
315,30800.0,thermal,30810.0
315,30800.0,thermal,30850.0
316,30900.0,thermal,30940.0
316,30900.0,thermal,30960.0
316,30900.0,thermal,30980.0
318,31000.0,thermal,31020.0
318,31000.0,thermal,31100.0
319,31100.0,thermal,31100.0
319,31100.0,thermal,31150.0
319,31100.0,thermal,31160.0
319,31100.0,thermal,31200.0
320,31200.0,thermal,31200.0
320,31200.0,thermal,31210.0
320,31200.0,thermal,31220.0
320,31200.0,thermal,31230.0
320,31200.0,thermal,31250.0
320,31200.0,thermal,31260.0
320,31200.0,thermal,31270.0
320,31200.0,thermal,31280.0
320,31200.0,thermal,31290.0
320,31200.0,thermal,31300.0
321,31300.0,thermal,31300.0
321,31300.0,thermal,31310.0
321,31300.0,thermal,31320.0
321,31300.0,thermal,31340.0
321,31300.0,thermal,31350.0
321,31300.0,thermal,31360.0
321,31300.0,thermal,31370.0
321,31300.0,thermal,31380.0
321,31300.0,thermal,31390.0
321,31300.0,thermal,31400.0
322,31400.0,thermal,31400.0
322,31400.0,thermal,31410.0
322,31400.0,thermal,31420.0
322,31400.0,thermal,31440.0
322,31400.0,thermal,31450.0
322,31400.0,thermal,31460.0
322,31400.0,thermal,31470.0
322,31400.0,thermal,31480.0
322,31400.0,thermal,31490.0
322,31400.0,thermal,31500.0
323,31500.0,thermal,31500.0
323,31500.0,thermal,31510.0
323,31500.0,thermal,31520.0
323,31500.0,thermal,31530.0
323,31500.0,thermal,31540.0
323,31500.0,thermal,31550.0
323,31500.0,thermal,31560.0
323,31500.0,thermal,31570.0
323,31500.0,thermal,31580.0
323,31500.0,thermal,31590.0
323,31500.0,thermal,31600.0
324,31600.0,thermal,31600.0
324,31600.0,thermal,31610.0
324,31600.0,thermal,31620.0
324,31600.0,thermal,31630.0
324,31600.0,thermal,31640.0
324,31600.0,thermal,31650.0
324,31600.0,thermal,31670.0
324,31600.0,thermal,31680.0
324,31600.0,thermal,31690.0
325,31680.0,thermal,31690.0
326,31700.0,thermal,31710.0
326,31700.0,thermal,31720.0
326,31700.0,thermal,31740.0
326,31700.0,thermal,31750.0
326,31700.0,thermal,31760.0
326,31700.0,thermal,31770.0
326,31700.0,thermal,31780.0
326,31700.0,thermal,31800.0
327,31720.0,thermal,31740.0
327,31720.0,thermal,31750.0
327,31720.0,thermal,31760.0
327,31720.0,thermal,31770.0
327,31720.0,thermal,31780.0
327,31720.0,thermal,31800.0
328,31800.0,thermal,31800.0
328,31800.0,thermal,31820.0
328,31800.0,thermal,31850.0
333,32300.0,thermal,32390.0
333,32300.0,thermal,32400.0
334,32400.0,thermal,32400.0
334,32400.0,thermal,32410.0
334,32400.0,thermal,32440.0
334,32400.0,thermal,32450.0
336,32600.0,thermal,32610.0
336,32600.0,thermal,32630.0
336,32600.0,thermal,32640.0
336,32600.0,thermal,32650.0
336,32600.0,thermal,32660.0
338,32800.0,thermal,32830.0
338,32800.0,thermal,32860.0
338,32800.0,thermal,32880.0
339,32900.0,thermal,32960.0
339,32900.0,thermal,32970.0
339,32900.0,thermal,32980.0
339,32900.0,thermal,33000.0
340,33000.0,thermal,33000.0
340,33000.0,thermal,33010.0
340,33000.0,thermal,33030.0
340,33000.0,thermal,33050.0
340,33000.0,thermal,33060.0
364,35400.0,thermal,35460.0
365,35500.0,thermal,35550.0
365,35500.0,thermal,35600.0
366,35600.0,thermal,35600.0
369,35900.0,thermal,35980.0
370,36000.0,thermal,36020.0
370,36000.0,thermal,36030.0
370,36000.0,thermal,36040.0
370,36000.0,thermal,36070.0
370,36000.0,thermal,36080.0
370,36000.0,thermal,36090.0
371,36100.0,thermal,36110.0
371,36100.0,thermal,36130.0
371,36100.0,thermal,36140.0
372,36200.0,thermal,36250.0
372,36200.0,thermal,36260.0
372,36200.0,thermal,36300.0
373,36300.0,thermal,36300.0
373,36300.0,thermal,36330.0
373,36300.0,thermal,36340.0
373,36300.0,thermal,36400.0
374,36400.0,thermal,36400.0
374,36400.0,thermal,36460.0
374,36400.0,thermal,36490.0
375,36500.0,thermal,36530.0
375,36500.0,thermal,36540.0
376,36600.0,thermal,36650.0
376,36600.0,thermal,36700.0
377,36700.0,thermal,36700.0
377,36700.0,thermal,36800.0
378,36800.0,thermal,36800.0
378,36800.0,thermal,36880.0
378,36800.0,thermal,36900.0
379,36900.0,thermal,36900.0
379,36900.0,thermal,36940.0
380,37000.0,thermal,37040.0
380,37000.0,thermal,37060.0
380,37000.0,thermal,37080.0
381,37100.0,thermal,37120.0
381,37100.0,thermal,37190.0
381,37100.0,thermal,37200.0
382,37200.0,thermal,37200.0
382,37200.0,thermal,37220.0
382,37200.0,thermal,37240.0
382,37200.0,thermal,37260.0
382,37200.0,thermal,37270.0
382,37200.0,thermal,37300.0
383,37300.0,thermal,37300.0
383,37300.0,thermal,37310.0
383,37300.0,thermal,37340.0
383,37300.0,thermal,37380.0
383,37300.0,thermal,37400.0
384,37400.0,thermal,37400.0
384,37400.0,thermal,37420.0
384,37400.0,thermal,37440.0
384,37400.0,thermal,37460.0
384,37400.0,thermal,37470.0
384,37400.0,thermal,37490.0
384,37400.0,thermal,37500.0
385,37500.0,thermal,37500.0
385,37500.0,thermal,37510.0
385,37500.0,thermal,37520.0
385,37500.0,thermal,37530.0
385,37500.0,thermal,37540.0
385,37500.0,thermal,37550.0
385,37500.0,thermal,37560.0
385,37500.0,thermal,37570.0
385,37500.0,thermal,37580.0
385,37500.0,thermal,37600.0
386,37600.0,thermal,37600.0
386,37600.0,thermal,37610.0
386,37600.0,thermal,37640.0
386,37600.0,thermal,37680.0
386,37600.0,thermal,37700.0
387,37700.0,thermal,37700.0
387,37700.0,thermal,37730.0
387,37700.0,thermal,37740.0
387,37700.0,thermal,37770.0
387,37700.0,thermal,37800.0
388,37800.0,thermal,37800.0
388,37800.0,thermal,37850.0
388,37800.0,thermal,37900.0
389,37900.0,thermal,37900.0
389,37900.0,thermal,37910.0
389,37900.0,thermal,37920.0
389,37900.0,thermal,37930.0
389,37900.0,thermal,37940.0
389,37900.0,thermal,37950.0
389,37900.0,thermal,37970.0
389,37900.0,thermal,37980.0
389,37900.0,thermal,37990.0
389,37900.0,thermal,38000.0
390,38000.0,thermal,38000.0
390,38000.0,thermal,38030.0
391,38100.0,thermal,38180.0
392,38200.0,thermal,38230.0
392,38200.0,thermal,38250.0
392,38200.0,thermal,38270.0
392,38200.0,thermal,38300.0
393,38300.0,thermal,38300.0
393,38300.0,thermal,38320.0
393,38300.0,thermal,38350.0
393,38300.0,thermal,38360.0
395,38500.0,thermal,38570.0
