Satellite states as KEPLERIAN_EARTH_CENTERED_INERTIAL elements.
Epoch [JDUT1] is 2458849.5
Step size [s] is 0.8590907628291932
Mission Duration [Days] is 0.03321077886481061
time index,sma [km],ecc,inc [deg],raan [deg],aop [deg],ta [deg]
18,6927.999999999997,0.0009999999999999994,98.0,0.00018582084793439786,359.99939706652594,277.89275150537986
19,6927.999999999996,0.0009999999999990546,98.0,0.00019614323047915632,359.99936357029964,277.9466232693324
20,6928.000000000002,0.0010000000000009485,98.0,0.00020646852412321213,359.99933007270204,278.0004951336149
21,6928.000000000001,0.00099999999999913,98.0,0.00021679126945335137,359.9992965765198,278.0543670981818
22,6927.999999999999,0.0010000000000008856,98.0,0.0002271134187250352,359.9992630810653,278.1082391630114
23,6927.999999999998,0.0009999999999991173,98.0,0.00023743658467976095,359.9992295848243,278.162111328166
24,6928.000000000001,0.0010000000000008856,98.0,0.00024776064023457025,359.999196088802,278.2159835935707
25,6927.999999999997,0.0009999999999999265,98.0,0.0002580826542432866,359.9991625925369,278.26985595920536
26,6928.000000000002,0.0010000000000009444,98.0,0.0002684069359166293,359.99912909521987,278.32372842513814
27,6927.999999999999,0.0009999999999991196,98.0,0.0002787306181086812,359.9990955993859,278.3776009912469
28,6928.000000000002,0.0009999999999999957,98.0,0.00028905376505166264,359.99906210293307,278.4314736575944
29,6928.000000000002,0.0010000000000008806,98.0,0.00029937643211521624,359.9990286066759,278.4853464241142
30,6927.999999999999,0.0009999999999991203,98.0,0.00030969984411873913,359.9989951105945,278.53921929083424
31,6928.000000000002,0.0010000000000000137,98.0,0.00032002392897085994,359.99896161361914,278.59309225772853
32,6927.999999999997,0.0009999999999999328,98.0,0.0003303475203129605,359.99892811753375,278.64696532474954
33,6927.999999999998,0.0009999999999990821,98.0,0.0003406706630106254,359.9988946215979,278.7008384919534
34,6928.0,0.0009999999999991264,98.0,0.00035099339664939277,359.99886112483836,278.75471175928374
35,6928.000000000002,0.0009999999999999794,98.0,0.00036131676500336625,359.99882762856925,278.80858512672194
36,6928.000000000001,0.0010000000000009064,98.0,0.00037164071517953816,359.99879413274965,278.86245859423445
37,6927.999999999996,0.0009999999999999768,98.0,0.00038196424581630914,359.9987606358729,278.9163321618355
38,6927.999999999999,0.0010000000000000018,98.0,0.00039228646095888726,359.9987271394539,278.97020582954696
39,6928.000000000001,0.0009999999999991173,98.0,0.00040261017756181505,359.9986936428996,279.02407959731937
40,6928.0,0.0010000000000009287,98.0,0.00041293440039152235,359.9986601462201,279.07795346508937
41,6928.000000000001,0.0009999999999990997,98.0,0.0004232573702179565,359.99862665101693,279.131827432929
42,6928.0,0.0010000000000008878,98.0,0.0004335808577261884,359.9985931540758,279.1857015007347
43,6927.999999999998,0.0010000000000008264,98.0,0.0004439031847104715,359.9985596580484,279.2395756685646
44,6927.999999999996,0.0010000000000008392,98.0,0.0004542268374509625,359.9985261618832,279.2934499363657
45,6928.000000000002,0.0010000000000000883,98.0,0.0004645501584560184,359.9984926653478,279.3473243041899
46,6928.0,0.0010000000000008396,98.0,0.00047487393685899886,359.9984591694121,279.4011987719094
47,6927.999999999997,0.0009999999999999577,98.0,0.0004851966411272682,359.99842567288067,279.45507333957744
48,6927.999999999998,0.001000000000000847,98.0,0.000495520544951958,359.9983921762439,279.5089480071704
49,6927.999999999998,0.000999999999999968,98.0,0.0005058441338732649,359.9983586803966,279.56282277468165
50,6928.000000000004,0.0010000000000009615,98.0,0.0005161674267858325,359.99832518398557,279.61669764211405
51,6928.0,0.0009999999999999922,98.0,0.0005264904411018575,359.99829168747084,279.67057260935707
52,6928.000000000003,0.0010000000000000512,98.0,0.0005368138718347312,359.9982581908582,279.7244476765203
53,6927.999999999996,0.0009999999999990693,98.0,0.0005471376954135111,359.998224694564,279.7783228434691
54,6928.0,0.0010000000000000284,98.0,0.000557460582424793,359.99819119836883,279.83219811029124
55,6928.000000000003,0.0010000000000000518,98.0,0.0005677838677683771,359.9981577020696,279.8860734769178
56,6928.000000000002,0.001000000000000032,98.0,0.0005781081605493324,359.99812420567184,279.93994894332087
57,6928.000000000002,0.0010000000000000458,98.0,0.0005884303108247731,359.9980907095625,279.9938245095311
58,6927.999999999997,0.0009999999999999684,98.0,0.0005987540816441018,359.99805721316403,280.0477001754587
59,6927.999999999998,0.0009999999999991244,98.0,0.0006090775954423327,359.9980237168596,280.10157594119215
60,6928.000000000002,0.0010000000000000117,98.0,0.0006194008650707276,359.9979902206449,280.1554518066428
61,6928.0,0.0010000000000008656,98.0,0.000629723902537555,359.9979567241586,280.2093277717803
