LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,geometry
40.58007,-4.34689,308.12,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.88,1.47,N,POINT (-4.34689 40.58007)
40.57978,-4.3422,306.8,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,294.71,1.47,N,POINT (-4.3422 40.57978)
40.57949,-4.33754,313.08,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.88,2.01,N,POINT (-4.33754 40.57949)
40.57471,-4.34367,324.48,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,295.1,1.47,N,POINT (-4.34367 40.57471)
40.57365,-4.32661,335.5,0.33,0.55,2025-08-09,0128,N20,VIIRS,n,2.0NRT,299.75,2.95,N,POINT (-4.32661 40.57365)
40.57499,-4.3482,311.01,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.56,1.47,N,POINT (-4.3482 40.57499)
40.57442,-4.33906,318.46,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.7,2.01,N,POINT (-4.33906 40.57442)
40.57415,-4.33475,318.35,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,294.54,2.01,N,POINT (-4.33475 40.57415)
40.5739,-4.33064,318.02,0.33,0.55,2025-08-09,0128,N20,VIIRS,n,2.0NRT,294.81,2.95,N,POINT (-4.33064 40.5739)
40.5734,-4.32266,318.36,0.33,0.55,2025-08-09,0128,N20,VIIRS,n,2.0NRT,295.99,4.14,N,POINT (-4.32266 40.5734)
40.56883,-4.33195,346.77,0.33,0.55,2025-08-09,0128,N20,VIIRS,n,2.0NRT,298.48,9.34,N,POINT (-4.33195 40.56883)
40.56857,-4.32782,353.7,0.33,0.55,2025-08-09,0128,N20,VIIRS,n,2.0NRT,304.76,9.34,N,POINT (-4.32782 40.56857)
40.5699,-4.34939,310.81,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,292.15,0.98,N,POINT (-4.34939 40.5699)
40.56964,-4.34506,311.06,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.53,0.98,N,POINT (-4.34506 40.56964)
40.56937,-4.34066,314.54,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,295.51,2.36,N,POINT (-4.34066 40.56937)
40.56909,-4.33627,316.64,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,295.81,2.36,N,POINT (-4.33627 40.56909)
40.56403,-4.33773,322.48,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,296.11,2.36,N,POINT (-4.33773 40.56403)
40.56376,-4.33338,347.24,0.33,0.55,2025-08-09,0128,N20,VIIRS,n,2.0NRT,296.71,9.34,N,POINT (-4.33338 40.56376)
40.56482,-4.35054,307.35,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.76,0.98,N,POINT (-4.35054 40.56482)
40.56456,-4.34629,307.25,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.22,0.98,N,POINT (-4.34629 40.56456)
40.56429,-4.34203,313.87,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,295.01,2.36,N,POINT (-4.34203 40.56429)
40.55972,-4.35164,302.05,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.61,0.84,N,POINT (-4.35164 40.55972)
40.55946,-4.34741,304.87,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.92,0.84,N,POINT (-4.34741 40.55946)
40.5592,-4.34315,305.87,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.74,1.1,N,POINT (-4.34315 40.5592)
40.55894,-4.3389,312.6,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.83,1.1,N,POINT (-4.3389 40.55894)
40.55385,-4.33997,304.51,0.33,0.56,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.5,1.1,N,POINT (-4.33997 40.55385)
40.03622,-3.56773,337.14,0.6,0.53,2025-08-09,0128,N20,VIIRS,n,2.0NRT,291.96,7.3,N,POINT (-3.56773 40.03622)
40.03574,-3.5605,333.43,0.6,0.53,2025-08-09,0128,N20,VIIRS,n,2.0NRT,295.65,7.3,N,POINT (-3.5605 40.03574)
40.03428,-3.53868,323.25,0.6,0.53,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.5,5.07,N,POINT (-3.53868 40.03428)
40.03381,-3.53165,326.11,0.6,0.53,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.35,5.07,N,POINT (-3.53165 40.03381)
40.03033,-3.55335,352.62,0.6,0.53,2025-08-09,0128,N20,VIIRS,n,2.0NRT,297.27,11.73,N,POINT (-3.55335 40.03033)
40.02985,-3.54615,321.64,0.6,0.53,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.2,11.73,N,POINT (-3.54615 40.02985)
40.03083,-3.56072,317.9,0.6,0.53,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.15,7.3,N,POINT (-3.56072 40.03083)
39.93725,-3.74429,303.86,0.61,0.53,2025-08-09,0128,N20,VIIRS,n,2.0NRT,292.82,1.0,N,POINT (-3.74429 39.93725)
39.35351,-6.32393,303.04,0.42,0.61,2025-08-09,0128,N20,VIIRS,n,2.0NRT,291.77,2.62,N,POINT (-6.32393 39.35351)
39.34786,-6.32427,303.07,0.42,0.61,2025-08-09,0128,N20,VIIRS,n,2.0NRT,291.21,1.45,N,POINT (-6.32427 39.34786)
39.25678,-5.80818,328.55,0.39,0.59,2025-08-09,0128,N20,VIIRS,n,2.0NRT,291.7,1.75,N,POINT (-5.80818 39.25678)
38.66831,-4.05643,305.08,0.62,0.54,2025-08-09,0128,N20,VIIRS,n,2.0NRT,294.23,2.82,N,POINT (-4.05643 38.66831)
38.66783,-4.04919,315.41,0.62,0.54,2025-08-09,0128,N20,VIIRS,n,2.0NRT,293.11,2.82,N,POINT (-4.04919 38.66783)
37.56947,-0.91848,310.35,0.41,0.45,2025-08-09,0128,N20,VIIRS,n,2.0NRT,295.69,1.89,N,POINT (-0.91848 37.56947)
42.17862,-7.39085,341.84,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,288.56,5.84,N,POINT (-7.39085 42.17862)
42.6446,-8.66578,299.72,0.58,0.7,2025-08-09,0128,N20,VIIRS,n,2.0NRT,289.53,0.84,N,POINT (-8.66578 42.6446)
42.43216,-6.63224,367.0,0.46,0.63,2025-08-09,0128,N20,VIIRS,h,2.0NRT,292.59,7.63,N,POINT (-6.63224 42.43216)
42.43183,-6.62227,328.36,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,289.59,7.63,N,POINT (-6.62227 42.43183)
42.43251,-6.64259,303.31,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,288.06,9.96,N,POINT (-6.64259 42.43251)
42.42632,-6.63313,339.52,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,288.26,7.63,N,POINT (-6.63313 42.42632)
42.42604,-6.62461,331.73,0.46,0.63,2025-08-09,0128,N20,VIIRS,n,2.0NRT,289.29,7.63,N,POINT (-6.62461 42.42604)
42.2104,-7.40091,367.0,0.5,0.66,2025-08-09,0128,N20,VIIRS,h,2.0NRT,287.64,20.93,N,POINT (-7.40091 42.2104)
42.21027,-7.39609,355.69,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,296.1,50.05,N,POINT (-7.39609 42.21027)
42.21012,-7.39016,339.87,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,292.11,50.05,N,POINT (-7.39016 42.21012)
42.21053,-7.4058,302.39,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,286.48,20.93,N,POINT (-7.4058 42.21053)
42.20994,-7.38327,308.06,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.99,7.94,N,POINT (-7.38327 42.20994)
42.20975,-7.37571,301.56,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,286.52,7.94,N,POINT (-7.37571 42.20975)
42.20433,-7.40136,367.0,0.5,0.66,2025-08-09,0128,N20,VIIRS,h,2.0NRT,287.92,20.93,N,POINT (-7.40136 42.20433)
42.20419,-7.39579,322.94,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,309.86,50.05,N,POINT (-7.39579 42.20419)
42.20403,-7.38966,349.98,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,297.44,50.05,N,POINT (-7.38966 42.20403)
42.20386,-7.38284,342.09,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,292.35,7.94,N,POINT (-7.38284 42.20386)
42.20465,-7.414,301.41,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.55,2.5,N,POINT (-7.414 42.20465)
42.20449,-7.40756,306.93,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.52,20.93,N,POINT (-7.40756 42.20449)
42.20367,-7.37543,302.77,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,288.51,7.94,N,POINT (-7.37543 42.20367)
42.19795,-7.38965,367.0,0.5,0.66,2025-08-09,0128,N20,VIIRS,h,2.0NRT,294.4,29.06,N,POINT (-7.38965 42.19795)
42.19774,-7.38103,321.19,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,289.73,11.04,N,POINT (-7.38103 42.19774)
42.19848,-7.41081,300.68,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.76,1.66,N,POINT (-7.41081 42.19848)
42.19832,-7.40442,303.4,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.93,1.66,N,POINT (-7.40442 42.19832)
42.19816,-7.39786,309.86,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,288.0,29.06,N,POINT (-7.39786 42.19816)
42.1921,-7.39893,367.0,0.5,0.66,2025-08-09,0128,N20,VIIRS,h,2.0NRT,288.7,29.06,N,POINT (-7.39893 42.1921)
42.19191,-7.39094,343.75,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,301.09,29.06,N,POINT (-7.39094 42.19191)
42.19244,-7.41256,299.99,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,286.8,1.66,N,POINT (-7.41256 42.19244)
42.19228,-7.40633,305.47,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.19,1.66,N,POINT (-7.40633 42.19228)
42.19168,-7.38169,317.29,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.79,11.04,N,POINT (-7.38169 42.19168)
42.19149,-7.37413,300.21,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.65,11.04,N,POINT (-7.37413 42.19149)
42.18565,-7.38358,324.25,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.1,7.26,N,POINT (-7.38358 42.18565)
42.18545,-7.37545,325.38,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.55,7.26,N,POINT (-7.37545 42.18545)
42.18585,-7.39196,305.81,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.98,7.72,N,POINT (-7.39196 42.18585)
42.1853,-7.36935,314.55,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,291.91,4.36,N,POINT (-7.36935 42.1853)
42.18515,-7.36343,319.93,0.5,0.65,2025-08-09,0128,N20,VIIRS,n,2.0NRT,292.07,4.36,N,POINT (-7.36343 42.18515)
42.17979,-7.39295,342.52,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.88,7.72,N,POINT (-7.39295 42.17979)
42.17958,-7.38382,349.79,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,291.83,7.26,N,POINT (-7.38382 42.17958)
42.20929,-7.39987,367.0,0.5,0.66,2025-08-09,0128,N20,VIIRS,h,2.0NRT,291.47,180.04,N,POINT (-7.39987 42.20929)
42.20894,-7.38859,351.42,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,300.53,33.62,N,POINT (-7.38859 42.20894)
42.20872,-7.38159,321.9,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.34,33.62,N,POINT (-7.38159 42.20872)
42.20945,-7.40485,306.88,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,286.56,11.36,N,POINT (-7.40485 42.20945)
42.20848,-7.37403,303.47,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,287.14,1.88,N,POINT (-7.37403 42.20848)
42.20323,-7.40046,349.21,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,288.26,13.27,N,POINT (-7.40046 42.20323)
42.20304,-7.39454,353.86,0.5,0.66,2025-08-09,0128,N20,VIIRS,n,2.0NRT,290.69,13.27,N,POINT (-7.39454 42.20304)
